X,Y,OBJECTID,NAME,DIAK_CDE,CONTENTS,FIPS_CNTRY,SIZE_
5358741.39612573,6843999.24087395,886,Yamsoveyskoye, ,gas,RS,Very large
5439443.6120362,6754854.828365,887,"Komsomol'skoye,Severokomsomol'skoye", ,"oil,gas",RS,Large
5513793.90425942,6785281.44420293,888,"Zapadno-Tarkosalinskoye,Gubkinskoye", ,"oil,gas",RS,Large
5620399.92707317,6798026.23084206,889,Vostochno-Tarkosalinskoye, ,"oil,gas",RS,Large
5611268.7620169,6749581.41568718,890,Tarasovskoye, ,"oil,gas",RS,Large
5419490.8159374,6677153.77419028,891,Sutorminskoye, ,"oil,gas",RS,Very large
5433218.96280176,6616357.06577828,892,Kholmogorskoye, ,oil,RS,Large
5583014.19770172,6602406.11712259,893,Vyngapurovskoye, ,"oil,gas",RS,Large
5710540.96587585,6551197.77282855,894,Var'eganskoye, ,"oil,gas",RS,Very large
5880502.50619644,6529539.3450283,895,Severno-Khokhryakovskoye, ,oil,RS,Large
5554188.50591321,6544402.2816145,896,Povkhovskoye, ,oil,RS,Large
5589467.41039394,6479113.97714112,897,Pokachevskoye, ,oil,RS,Large
5665630.69517147,6460360.94679403,898,"Aganskoye,Vatinskoye", ,oil,RS,Large
5729648.87872153,6445101.04907061,899,Samotlorskoye, ,"oil,gas",RS,Very large
5781623.10411262,6397557.47018505,900,Sovetskoye, ,oil,RS,Large
5881396.54073137,6410842.98267246,901,Vakhskoye, ,"oil,gas",RS,Large
5550742.1651192,6454084.91076136,902,Lokosovskoye, ,oil,RS,Large
5361824.14217649,6494440.91020654,903,"Lyantorskoye,Taybinskoye", ,"oil,gas",RS,Very large
5352730.79265275,6389523.1512377,904,Salymskoye, ,oil,RS,Very large
5430961.39683409,6351335.5462085,905,Malobalykskoye, ,oil,RS,Large
5448825.81237732,6388387.90333908,906,Mamontovskoye, ,oil,RS,Large
5449790.73554226,6432114.14167948,907,Yuzhno-Surgutskoye, ,oil,RS,Large
5397238.17114443,6288155.25886117,908,Verkhnesalymskoye, ,oil,RS,Large
4773869.87205248,6730983.15549102,909,Pokhromskoye, ,gas,RS,Small
4708942.09444537,6707041.96694325,910,Berezovskoye, ,gas,RS,Small
4725809.53151908,6630061.83944743,911,Igrimskoye Severnoye, ,gas,RS,Small
4952983.16706699,6489260.09102864,912,Krasnoleninskoye, ,"oil,gas",RS,Very large
4869983.42066835,6365396.15777508,913,Mortym'ya-Teterevskoye, ,"oil,gas",RS,Medium
5765722.12125527,6232064.80388604,914,Pervomayskoye, ,oil,RS,Large
5789860.9117757,6254859.10470361,915,Olen'e, ,oil,RS,Medium
5910943.51794438,6265424.7131268,916,Severo-Vasyuganskoye, ,gas,RS,Large
5926044.51804115,6301703.57070781,917,Chkalovskoye, ,"oil,gas",RS,Small
6174629.87635018,6338974.93576692,918,Kiev-Yeganskoye, ,oil,RS,Small
5600110.55243874,6076082.02453639,919,Prirakhtovskoye, ,oil,RS,Small
5657087.25014934,6118806.62845597,920,Taytymskoye, ,oil,RS,Small
5879889.40937296,6095033.98760788,921,Igol'sko-Talovoye, ,oil,RS,Large
5971243.50022723,6201083.88080637,922,Myl'dzhinskoye, ,gas,RS,Large
6037051.04189506,6152326.10267197,923,Luginetskoye, ,"oil,gas",RS,Large
6096775.86209275,6107923.56621166,924,Ostaninskoye, ,"oil,gas",RS,Medium
6129145.22125579,6052784.50295506,925,Kazanskoye, ,gas,RS,Medium
6105394.26352134,6016835.8501132,926,Verkhtarskoye, ,oil,RS,Medium
5155680.9453294,4236713.32536785,927,Sakarchagi, ,gas,TX,Small
5259540.30114531,4225675.8585741,928,Beurdeshikskoye, ,gas,TX,Large
5323265.23123632,4248858.25338946,929,Kirpichlinskoye, ,gas,TX,Large
5330138.15361389,4295230.29101003,930,Severnyy Balkui, ,gas,TX,Large
5330219.76121217,4344121.54298542,931,"Naip,Yuzhnyy Naip", ,gas,TX,Large
5291860.112059,4360278.93786099,932,Achak, ,gas,TX,Medium
5425070.06269773,4282523.69177596,933,Gugurtli, ,gas,TX,Large
5503148.52449078,4261280.52815874,934,"Uchkyrskoye,Akkum", ,gas,UZ,Medium
5536059.48713934,4281165.27102643,935,Gazli, ,"oil,gas",UZ,Large
5545496.75759468,4216558.62563688,936,Kandym, ,gas,UZ,Large
